,Sr No.,Utterance,Emotion
9274,9745,Dude! How-how did you write this?,surprise
9278,9750,Yeah!,anger
9288,9761,All the time!,anger
9299,9772,"It took you that long to figure it out, huh?",surprise
9306,9779,"All right. No, no, no, not a Richard thing, just put down the glass. And get out!",anger
9337,9810,But what about Phoebe?,surprise
9344,9817,Are you jealous?,surprise
9345,9818,"Noo, I y'know I don't see why she has to play with you, that's all.",anger
9346,9819,I mean doesn't she have any y'know other stripper moms friends of her own?,anger
9348,9821,I'm not jealous.,anger
9353,9826,What?,surprise
9354,9827,Huh.,surprise
9357,9830,I can’t believe you came back.,surprise
9363,9836,You missed the exit!,surprise
9365,9838,"My God, what were you thinking about?",surprise
9368,9841,"I just—I thought you guys were doing it, I didn't know you were in love!",surprise
9371,9844,God!,surprise
9380,9924,How do you think Joey?s going to react when he finds out that you blew off his sister with a letter?,anger
9389,9850,Oh! I knew it! What happened?,surprise
9391,9852,What?! You kissed!,surprise
9396,9857,Really?!,surprise
9399,9860,You’re kidding right?,surprise
9401,9862,Well that’s a full cup!,surprise
9403,9864,What? Why? Where are you?,surprise
9405,9866,Joey! The wedding is in less than an hour!,anger
9408,9869,"No! No, I’m the minister! Alright, look-look, put ‘em both on the phone, I’ll marry them right now.",anger
9410,9871,Hey! Don’t you hang up on me! I’ll marry you and me right now! I have the power!,anger
9419,9882,Why?,surprise
9421,9884,Bastard!,anger
9422,9885,You mean whenever Monica and Chandler where like y'know doing laundry or going grocery shopping or—Oh!,surprise
9423,9886,All that time Monica spent on the phone with sad Linda from camp!,surprise
9425,9889,"Oh, I can't believe it!",surprise
9434,9899,"Okay, so now they know that you know and they don't know that Rachel knows?",surprise
9441,9906,You really think it would be that different?,surprise
9442,9907,How could it not be?,surprise
9448,9913,Its still there!,surprise
9457,9922,Why?,surprise
9479,9944,Get off!,anger
9487,9952,Oh! Something smells good over at Monica’s station!  Oh my God! This is absolutely amazing! You’ve never made this before?,surprise
9488,9953,Oh no!,surprise
9518,9983,"Y'know, I-I don't even feel like I know you anymore man!",anger
9521,9986,"Were you, or were you not on a gay cruise?",anger
9522,9988,"Oh hey! There's some kids playing in the street, you wanna go down there and give them a project, ruin their day?",anger
9524,9990,She said what?,surprise
9527,9993,"Emily, do you think Monica realises how much our parents spent on this wedding?",anger
9528,9994,"Do you my sister’s teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh?",anger
9531,9997,I can’t ask people to do that? Would you ask people to do that?,anger
9532,9998,Don’t you point your pants at me!,anger
9533,9999,We have no choice!,anger
9534,10000,"Anywhere that’s half-decent would’ve be booked months ago, Ross don’t you understand?",anger
9535,10001,This is our wedding I’m talking about.,anger
9537,10003,So what are you saying? It’s now or never?,anger
9539,10005,Or?,anger
9540,10006,There’s no ‘or’ in mind. What is wrong with these pants?!!,anger
9541,10007,It’s not the pants.,anger
9542,10008,It’s you that is backwards.,anger
9543,10009,"And if, and if you don’t understand how important this is to me, well then, perhaps we shouldn’t get married at all!",anger
9548,10014,Well next time ask! Or at least wait for me to ask!,anger
9550,10016,Oh no!,surprise
9553,10019,This is Chandler Bing! This is Chandler Bing!,surprise
9554,10020,NOOOO!!!!!!!!,anger
9555,10021,Ma! What're you doing here?,surprise
9557,10023,Oww! Big ring!,surprise
9561,10027,Really?,surprise
9565,10031,"Actually, I think this apartment sullies the good name of crap",anger
9592,10059,"Okay, here’s your penis!",surprise
9607,10078,"Hey, buddy!  Are you familiar with Section 11-B of the Health Code that requires all refuse material out the",anger
9610,10081,"Okay, stop!",anger
9612,10083,"Y'know I mean it was really exciting at first but now it's like, okay, so where are we gonna eat ever?",anger
9616,10088,Go!,anger
9627,10099,"Nimitz, and sold over 2,000 boxes.",anger
9634,10106,I can’t!,anger
9635,10107,It’s too late!,anger
9640,10112,What do we got there?,surprise
9641,10113,"A piece of something: boxer shorts, greeting cards, and what looks like a half-charred picture—Wow, that guy's hairier than the Chief!",surprise
9648,10120,Really?,surprise
9658,10130,Wait! Did you say 'G.Stephanopoulos?',surprise
9659,10131,"Wait, was this a-a small mediterranean guy with curiously intelligent good looks?",surprise
9662,10134,Oh God.,surprise
9663,10135,Are you nuts?! We've got George Stephanopoulos' pizza!,surprise
9681,10153,It’s beautiful! It’s like the first bathroom floor there ever was.  Whoa! Are you going in there for?,surprise
9686,10158,"Well, it’s about time.",anger
9692,10164,"Hey, it’s my list.",anger
9695,10167,Hi! And you're going into what grade?,surprise
9699,10171,Shh!,anger
9700,10172,"Doogie, shh!",anger
9701,10173,Doesn't anybody understand that I'm gonna be having babies soon?,surprise
9702,10174,Huh?,surprise
9703,10175,Go!,anger
9704,10176,"Go little boy, go!",anger
9707,10179,"Well, they’re just gonna have to wait aren’t they? I’ve only got two hands!!",anger
9709,10181,No! You don’t know the system! There’ll be nobody messing with the system!,anger
9713,10185,You have a son!,surprise
9725,10197,....right?,anger
9726,10198,Right?,anger
9727,10199,"I mean it’s pretty unbelievable y'know, I mean they just took off, took off without even looking back.",anger
9728,10200,"Y'know I don’t, I don’t need them, huh, I’ve got you guys now as friends, you and Susan.",anger
9730,10202,"717?  Where’s 717?  Hey, you’ve have more of these for Susan right?",surprise
9733,10205,"Pheebs? What, why are you whispering?",surprise
9739,10211,"Well, oh, I’m sorry your car broke down Pheebs, but I’m a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?",anger
9741,10213,"No, I’m not gonna pick them up.",anger
9743,10216,"So you can either sulk here for a half hour and then go pick them up, or save us both time and sulk in the car.",anger
9744,10217,"No, Rachel doesn’t want me to....",anger
9750,10223,Kind of? If you just kept this to yourself none of this would've happened.,anger
9751,10224,"Well, I'm keeping so many things to myself these days, something was bound to slip out!",anger
9752,10225,"Well, I think it's very brave what you said.",anger
9754,10227,"Pheebs, what are you doing with the coat? How about the whole animal rights thing?",anger
9755,10228,"Well, I've been reading up and for your information, minks are not very nice.",anger
9756,10229,"Okay, I admit it!",anger
9765,10238,I don’t care about your dad! I care about Mona! She was there and now she’s totally freaked out!,anger
9767,10240,Rachel!,anger
9769,10242,Okay!,anger
9771,10244,Thank you!,anger
9772,10245,That’s it?!,anger
9773,10246,You call that a fight?,surprise
9774,10247,Come on!,anger
9775,10248,"""We were on a break!""",anger
9776,10249,"""No we weren’t!""",anger
9777,10250,What happened to you two?,surprise
9783,10257,Forty-five minutes? We have tickets to the,surprise
9787,10261,Give him money? It was a joke!,surprise
9788,10262,"No, to get a table! Places like this are always shakin’ you down. Everybody wants to be paid off.",anger
9797,10271,My what?,surprise
9800,10274,Are you serious?,surprise
9815,10289,"Joey,  where did you learn that word?",surprise
9817,10291,You found my book?!,anger
9819,10293,"Joey, what-what are you doing going into my bedroom?!",anger
9820,10294,"Okay, look I’m sorry, I went in there to take a nap and I know I shouldn’t have, but you got porn!",surprise
9821,10295,"Hey-hey, y’know what?",anger
9823,10299,"It’s just a healthy expression of female sexuality, which by the way, you will never understand.",anger
9828,10304,What?!,surprise
9831,10314,You can not play bagpipes at the wedding!!,anger
9832,10315,How did you know about that?!,surprise
9851,10334,"Monica, leave him alone",anger
9853,10336,Did you not hear me before when I told you that all of Janine’s friends are dancers?!,surprise
9854,10337,And that they’re going to be drinking alot!,anger
9856,10340,Well you’re whippin’ so slow! Can’t you do it any faster?,anger
9857,10341,Joey!,anger
9858,10342,Come on!,anger
9859,10343,"I don’t wanna make any mistakes, alright?",anger
9863,10347,"Ross, if you don’t tell them, then I will!",anger
9864,10348,"Okay, fine!",anger
9871,10355,What?,surprise
9872,10356,"The weirdest thing happened at the coffee house, I think, I think Phoebe was hitting on me.",surprise
9873,10357,What are you talking about?,surprise
9876,10360,Ow!,surprise
9878,10362,"Oh, y'know I-I can't hear that enough.",anger
9880,10364,"No, I didn't misunderstand, okay? She was all over me! She touched my bicep for crying out loud!",anger
9881,10365,This bicep?,surprise
9882,10366,Well it's not flexed right now!,anger
9888,10372,"Well, lots of people! Look, are you coming to memorial service or not?",anger
9896,10381,Really? Like how?,surprise
9899,10384,Yeah? You like that one?,surprise
9901,10386,I’m funny?,surprise
9913,10399,You took my watch?,surprise
9929,10415,"Ohh, how is he?",surprise
9936,10422,And people will think you own a Porsche because you’re wearing the clothes?,surprise
9939,10429,Oh! It’s you.  Hi.,surprise
9940,10430,What about me?! You-you just said I could!,anger
9942,10432,I can’t believe you’re not picking me.,anger
9945,10435,"Fine, y’know what, that’s it. From now on, Joey, I want you to be my best man.",anger
9949,10439,Wh-what?! Why?!,surprise
9951,10441,You're kidding right?,surprise
9953,10443,What?!,surprise
9957,10447,A week?,anger
9962,10452,No!,anger
9975,10465,"Don’t tell me, because of the big nostril thing?",surprise
9979,10469,How many perfectly fine women are you gonna reject over the most superficial insignificant things?,surprise
9986,10476,"You guys are messing with me, right?",surprise
1,2,What?,surprise
9,10,Where?!,surprise
12,13,"No, I know!",surprise
13,14,"I-I’m sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",anger
19,20,Well! Well! Well! Joey Tribbiani! So you came back huh? They,surprise
20,21,What are you talkin’ about? I never left you! You’ve always been my agent!,surprise
21,22,Really?!,surprise
26,27,Tonight? You-you didn't say it was going to be at nighttime.,surprise
29,30,"Oh-oh, you’re-you’re fellow scholars.",surprise
33,34,"Ah… Ah…Get out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marion’s views on evolution?",anger
36,37,"I’m sorry, who are you?",surprise
38,39,"Ross Geller, why do I know that name? It’s uh—Wait!  Did you write this?",surprise
39,40,Yes! You’re the person who checked out my book?!,surprise
40,41,"Y’know, you look nothing like I would’ve thought. You’re…you’re so young.",surprise
42,43,You had no right to tell me you ever had feelings for me.,anger
43,44,What?,surprise
44,45,I was doing great with Julie before I found out about you.,anger
45,46,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",anger
46,47,The point is I...,anger
47,48,"I don't need this right now, OK.",anger
48,49,"It, it's too late, I'm with somebody else, I'm happy.",anger
49,50,This ship has sailed.,anger
50,51,"Alright, fine, you go ahead and you do that, alright Ross.",anger
51,52,Fine.,anger
52,53,Cause I don't need your stupid ship.,anger
53,54,Good.,anger
54,55,Good.,anger
59,60,Oh shoot!,surprise
63,64,What?! They took mine to give to you!,surprise
64,65,Why would they take away our keys?,surprise
69,70,"Uh, what?",surprise
71,72,What—You’re not serious.,surprise
72,73,"I mean she’s a very nice woman, but there is no way we can take eight weeks of her.",anger
103,105,It's a witness not a perp. And no one talks like that!,anger
104,106,"Yeah, no one talks like that!",anger
105,107,Oh what? Like your Mr. Cop!,anger
106,108,"Hey, I'm more cop than you two!",anger
112,114,"Oh what, you-you want both of them?",surprise
113,115,"Rachel Karen Green, where's the other earring?!",anger
117,119,Tell her to wear her own earrings.,anger
119,121,Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,anger
121,123,Because I lose her stuff!,anger
125,130,Chandler’s gone again!,surprise
128,133,I already had a baby. Leave me alone.,anger
132,137,We got another one!,surprise
133,138,"Oh my God, I can't believe I have two-two children.",surprise
134,139,How scary is that?,surprise
137,142,"Hey, where's his thing?",surprise
138,143,Chandler's a girl!,surprise
139,144,"Oh God, kindergarten flashback.",surprise
140,145,They musta read the sonogram wrong.,surprise
141,146,"Cause they, 'cause they thought it was a boy, but Chandler's a girl!",surprise
142,147,Chandler's a girl!,surprise
146,151,We have our babies?,surprise
153,158,"I want to talk to that bastard, see what his problem is.",anger
157,162,Toby! I’m not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,anger
160,166,Are you serious—Really?! It’s in such good condition.,surprise
162,168,Wow! Whoa-whoa what’s under the covers?,surprise
170,176,Oh just say it Kyle!,surprise
172,178,What about her whining and her constant need for attention?!,anger
174,180,"Oh right, because you’re so capable of change.",anger
175,181,"Y’know, he hums when he pees!",anger
179,185,"That’s all right, we-we don’t need you. In fact, hey I’m over it already.",anger
180,186,"Yeah, and y’know what? I don’t give a tiny rat’s ass.",anger
